,datetime,Tweet id,Username,Text
57,2022-06-28 20:17:00+00:00,1541878352906276867,zazoomblog,Manchester United il nuovo terzino sinistro arriva dall’Olanda: chiesto da ten Hag! -  #Manchester #United #nuovo #terzino  https://t.co/OC2WuNXVy7
58,2022-06-28 19:53:51+00:00,1541872525755514883,docdebbie,Users of https://t.co/qJuDeUmQdO or #pwd people with #diabetes in #manchester #GreaterManchester. Look! @ManchesterHCC @HealthInnovMcr @OHT_Manchester @ManUtd @ManCity @GMNurses @EwanJonesGM https://t.co/kx3NC7U2KL
59,2022-06-28 19:53:03+00:00,1541872323585888263,adiedo_lentitus,"What's the main cause of Manchester United's dormancy in the Transfer Market?
#Manchester United #Antony  #LissandroMartinez #JurienTimber #DeJong https://t.co/kKLR6vE6CW"
60,2022-06-28 19:44:44+00:00,1541870233622822914,fussball_zeit,#frenkiedejong #dejong #fichaje #barcelona #fcbarcelona #manchester #united #manchesterunited #neerlandais #holanda🇳🇱 #traspaso
61,2022-06-28 19:27:17+00:00,1541865840953393155,newsoneplace,(Manchester Evening News):#Manchester #United star Raphael Varane sends message to Lewis Hamilton amid Nelson Piquet racial abuse row : Former world champion Piquet's comments from a podcast interview have drawn widespread .. https://t.co/ghV4H3jsf3
62,2022-06-28 18:22:41+00:00,1541849583478837251,FilisettiNicola,"Calciomercato Manchester United: 
Preso un nuovo terzino sinistro dall’ #Olanda, il calciatore in causa è Tyrell Malacia, il terzino sinistro in forza al #Feyenord si trasferirà a #Manchester, per una cifra intorno hai 20 milioni di euro. https://t.co/iaI8zWjKnh"
63,2022-06-28 18:13:30+00:00,1541847273474297857,khalidAde17,"You see the way Manchester United stand firm on their target, despite the fact that they were rejected so many times by Barcelona for Frenkie De Jong transfer? That's how you should be consistent with your choice of goals.
#Manchester #Eriktenhag Consistency and perseverance 💪❤️"
64,2022-06-28 18:04:29+00:00,1541845004565495810,MercatoPlein,"MERCATO 🚨 Accord entre #Manchester United et #Feyenoord pour Tyrell #Malacia. L’#OL serait donc à la recherche d’un nouvel arrière gauche. Des rumeurs annoncent un fort intérêt des gones pour Léo Dubois, actuellement arrière droit à l’Olympique Lyonnais ! 

#TeamOL #MercatOL https://t.co/qydAL9t2hj"
65,2022-06-28 18:01:36+00:00,1541844276589563905,drealnamdi,"🚨 BREAKING: #Manchester United hav finally reached an agreement today with the   management FC Barcelona over the transfer of frank de jong at an undisclosed fees..however they both agreed that tomorrow is Wednesday and today is Tuesday
Man United has verbally accepted the offer"
66,2022-06-28 17:48:55+00:00,1541841084728369152,EwsSportn,"🇬🇧⤵️:

🚨Officially🚨:
✅ Manchester United announced the extension of the contract of his Iraqi talent ""Zidane Iqbal"" until 2025, with the option to extend for an additional season 🇮🇶
.
#sportn_ews #iqbal #zidaneiqbal #ManUtd #Manchester"
